Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+170.220,+000.118,+179.339,-0.152,+0.040,-0.712,+00.0300,-00.1200,+10.0730,+00.000232,+00.000843,-00.000548
+170.219,+000.118,+179.338,-0.149,+0.032,-0.716,+00.0230,-00.1170,+10.0390,+00.000252,-00.000300,-00.000503
+170.222,+000.119,+179.338,-0.152,+0.028,-0.712,+00.0170,-00.0990,+10.0700,-00.000149,+00.000192,-00.000210
+170.224,+000.119,+179.339,-0.153,+0.043,-0.718,+00.0350,-00.1430,+10.0980,+00.000276,+00.000189,+00.000737
+170.220,+000.119,+179.338,-0.149,+0.034,-0.719,+00.0200,-00.1120,+10.0690,+00.000353,+00.000629,-00.000663
+170.222,+000.118,+179.338,-0.149,+0.039,-0.716,+00.0210,-00.1080,+10.0620,+00.000763,+00.000470,-00.000567
+170.225,+000.118,+179.338,-0.149,+0.037,-0.716,+00.0290,-00.1300,+10.0640,+00.000172,-00.000504,-00.000199
+170.223,+000.118,+179.337,-0.152,+0.031,-0.718,+00.0290,-00.1280,+10.0690,+00.000022,+00.000581,-00.000066
+170.222,+000.118,+179.337,-0.149,+0.027,-0.717,+00.0290,-00.1190,+10.0590,-00.000084,+00.000076,-00.001043
+170.224,+000.119,+179.336,-0.154,+0.033,-0.715,+00.0180,-00.1000,+10.0850,-00.000846,-00.000721,+00.000663
+170.221,+000.119,+179.338,-0.153,+0.031,-0.713,+00.0450,-00.1310,+10.0670,+00.000885,+00.000239,+00.000010
+170.221,+000.121,+179.337,-0.151,+0.029,-0.713,-00.0090,-00.1200,+10.1050,-00.001279,-00.001399,+00.000937
+170.221,+000.121,+179.337,-0.153,+0.032,-0.716,+00.0280,-00.1210,+10.0440,+00.000038,-00.000425,-00.000423
+170.221,+000.120,+179.337,-0.152,+0.031,-0.722,+00.0500,-00.1190,+10.0890,+00.000418,+00.000801,-00.000293
+170.220,+000.121,+179.336,-0.151,+0.037,-0.715,+00.0130,-00.1200,+10.0790,+00.000580,+00.000338,+00.000845
+170.216,+000.120,+179.336,-0.154,+0.035,-0.714,+00.0040,-00.1120,+10.0710,-00.000496,+00.000024,+00.000070
+170.218,+000.120,+179.337,-0.153,+0.040,-0.716,+00.0140,-00.1120,+10.0700,-00.000066,+00.000105,-00.000828
+170.216,+000.121,+179.337,-0.152,+0.039,-0.715,+00.0370,-00.1180,+10.0820,-00.000353,-00.000431,+00.000077
+170.221,+000.122,+179.337,-0.149,+0.029,-0.717,+00.0260,-00.1080,+10.0880,-00.001994,-00.001223,-00.000046
+170.222,+000.121,+179.337,-0.152,+0.029,-0.715,+00.0160,-00.1090,+10.0750,+00.000244,+00.000767,-00.001570
+170.225,+000.120,+179.338,-0.153,+0.029,-0.713,+00.0350,-00.1040,+10.0670,-00.000250,+00.000660,-00.000169
+170.224,+000.120,+179.338,-0.151,+0.029,-0.722,+00.0340,-00.1180,+10.0700,+00.000661,-00.000028,-00.000772
+170.226,+000.120,+179.337,-0.152,+0.034,-0.720,+00.0270,-00.1200,+10.0730,+00.001019,-00.000064,+00.000065
+170.224,+000.120,+179.337,-0.149,+0.032,-0.712,+00.0010,-00.1120,+10.0790,-00.000210,-00.000379,+00.000384
+170.223,+000.119,+179.335,-0.152,+0.036,-0.716,+00.0180,-00.1210,+10.0880,-00.000812,+00.001214,+00.000694
+170.223,+000.120,+179.335,-0.149,+0.030,-0.717,+00.0420,-00.1230,+10.0710,-00.001369,-00.002056,+00.000698
+170.227,+000.119,+179.335,-0.152,+0.031,-0.715,+00.0110,-00.1150,+10.1030,-00.000727,-00.000322,-00.000850
+170.229,+000.119,+179.335,-0.151,+0.040,-0.713,+00.0200,-00.0960,+10.0750,+00.000196,-00.000254,+00.000771
